part	c1	c2	c3	c4
136	4.44	5.46	10.15	8.67
137	3.95	5.81	10.47	8.61
138	3.69	5.7	9.82	7.25
139	3.36	5.18	9.75	7.38
140	3.39	5.04	10.02	7.92
141	4.2	4.93	10.16	7.66
142	3.15	4.41	9.82	7.16
143	3.46	5.92	9.99	7.84
144	4.02	5.68	10.26	8.22
145	4.13	6.54	10.33	8.36
146	4.23	6.05	9.74	8.23
147	4.23	6.64	10.12	8.05
148	4.33	5.24	9.93	8.21
149	3.89	4.71	9.72	7.8
150	4.05	5.41	10.02	7.41
151	3.85	5.49	10.1	8.08
152	4.22	6.35	9.94	NA
153	3.84	5.05	10.27	8.43
154	4.36	6.24	10.11	8.26
155	4.59	6.23	10.53	8.95
156	4.46	5.32	9.81	7.14
157	3.62	5.5	9.76	7.37
158	4.16	5.01	9.93	7.23
159	3.64	5.59	10.24	7.57
160	4.15	5.5	10.09	8.01
161	4.23	4.8	10.14	8.13
162	3.92	5.02	9.77	8.51
163	4.42	5.79	10.01	8.44
164	4.09	5.54	10.08	8.23
165	3.2	5.14	9.68	7.68
166	3.65	4.99	9.8	7.61
167	3.38	5.36	10.02	8.07
168	4.7	6.18	10.18	8.02
169	4.26	5.57	10.34	7.75
170	3.43	4.81	9.76	6.93
171	4.41	5.12	10.09	8.19
172	3.79	5.14	10.14	8.07
173	4.49	5.79	10.29	8.23
174	3.75	5.53	9.98	8.35
175	3.85	5.23	9.91	7.46
176	NA	6.06	10.16	8.51
177	3.66	4.94	9.9	7.16
178	4.36	5.71	10.14	8.38
179	3.2	5.2	9.91	8.37
180	3.91	5.21	9.91	8.31
181	4.13	5.1	10.15	8.12
182	3.85	5.44	9.69	7.31
183	3.17	5.49	9.79	8.22
184	3.45	6	9.97	7.77
185	4.04	5.17	9.73	7.85
186	3.58	4.84	9.77	7.94
187	3.98	5.6	10	7.54
188	4.37	5.69	10.13	7.19
189	3.84	5.61	10.1	7.92
190	4.49	5.25	9.89	7.84
191	3.68	5.42	9.89	7.74
192	4.65	5.72	10.07	8.7
193	3.71	5.26	9.8	6.87
194	4.28	5.66	9.7	7.91
195	4.18	6.33	10.23	9.09
196	3.37	5.08	9.8	7.09
197	3.99	5.98	10.07	8.9
198	3.82	5.7	9.86	8.59
199	3.95	5.86	10.15	8.37
200	4.26	6.06	10.18	8.74
201	4.31	5.4	10.31	8.14
202	4.48	5.98	10.03	8.56
203	3.54	4.51	9.7	7.84
204	4.1	5.97	10.02	8.86
205	4.04	5.86	10.22	8.76
206	4.55	5.8	10.34	8.76
207	4.21	5.45	10.12	8.02
208	3.76	5.37	9.82	7.81
209	3.56	4.92	10.18	7.36
210	3.88	5.49	9.98	7.86
211	4.24	6.53	10.18	9.04
212	4.33	6.1	10.15	8.66
213	4.08	6.21	10.13	8.52
214	4.39	6.4	10.05	8.1
215	3.58	4.48	9.53	7.77
216	4.04	5	9.89	7.82
217	4.02	5.26	9.85	7.52
218	4.18	5.75	10.1	8.17
219	3.53	5.21	10.05	7.13
220	4.43	5.5	10.23	9.21
221	4.37	5.46	10.1	8.5
222	4.35	5.35	10.09	8.38
223	3.35	4.58	9.91	7.12
224	4.09	5.94	10.01	8.09
225	3.92	4.93	10.03	8.31
226	3.22	5.49	9.68	7.83
227	3.88	5.49	10.29	7.65
228	3.92	5.3	9.92	7.93
229	3.53	4.7	9.78	7.21
230	3.66	4.81	9.91	7.92
231	3.87	5.65	9.89	8.83
232	3.74	4.82	9.73	7.82
233	3.62	5.04	10	7.95
234	4.05	6.14	10.1	8.65
235	3.54	5.09	9.97	7
236	4.27	5.89	10.25	7.2
237	4.39	6.45	10.05	8.48
238	4.4	6.4	10.17	8.25
239	4.06	5.55	9.87	7.73
240	3.85	5.3	9.95	7.9
241	4.63	6.06	10.01	8.12
242	4.77	5.98	10.19	7.93
243	4.43	6.21	10.07	8.69
244	3.6	5.7	9.95	7.72
245	3.83	4.63	10.09	7.88
246	3.44	5.51	9.74	7.71
247	4.42	5.59	9.77	8.08
248	3.95	4.94	9.82	7.44
249	3.7	4.43	9.83	7.71
250	3.98	5.58	10.17	8.33
251	4.1	5.86	10.23	8.38
252	4.05	5.7	9.67	8.09
253	4	6.78	10.11	8.59
254	4.17	5.49	10.33	8.14
255	4.05	6.12	10.27	7.96
256	4.05	5.52	9.9	8.11
257	4.1	5.19	9.9	7.2
258	3.79	5.43	9.89	7.65
259	4.1	5.05	10.02	7.55
260	3.81	4.94	9.93	7.6
261	3.94	5.84	10.11	8.45
262	3.99	5.6	9.92	8.51
263	4.15	5.87	10.19	8.5
264	4.17	5.24	10	7.79
265	4.12	6.49	10.11	8.75
266	4.12	5.96	9.96	7.77
267	4.01	5.49	9.95	8.76
268	4.09	5.84	9.83	7.5
269	3.58	5.24	9.91	7.61
270	3.83	5.73	10.02	8.12
271	3.86	5.09	9.68	7.5
272	4.09	5.96	10	8.08
273	3.75	5.16	10.06	7.41
274	4.7	5.78	9.95	8.01
275	4.15	5.81	10.2	8.33
276	3.41	4.26	9.87	7.37
277	4.65	5.86	10.11	8.38
278	5.11	5.91	10.5	8.97
279	4.23	5.17	9.92	7.49
280	4.43	5.34	10.21	7.87
281	4.41	5.77	10.18	8.37
282	4.5	5.54	9.84	7.51
283	3.76	5.72	10.25	8.26
284	3.93	5.47	10.12	7.94
285	4.29	4.99	10.13	7.55
286	3.61	4.64	9.83	7.39
287	4.72	5.83	10.05	8.58
288	4.2	5.37	9.95	8.35
289	3.89	4.98	9.94	7.81
290	4.39	5.54	10.15	7.79
291	3.91	5.61	10.04	8.18
292	3.77	4.99	10.06	8.27
293	4.25	5.5	9.97	8.19
294	4.69	5.67	10.23	8.01
295	4.53	5.53	10.25	8.17
296	4.14	5.23	10.05	7.9
297	4.13	5.75	10.17	8.2
298	3.47	5.28	10.09	7.83
299	5.07	6.46	10.42	8.69
300	4.41	5.7	10.14	7.96
301	4.35	5.36	10.12	8.47
302	3.7	5.77	10	7.99
303	3.91	5.38	9.83	8.41
304	4.44	6.1	10.2	8.41
305	4.32	5.48	9.98	8.88
306	4.35	5.74	10.15	8.02
307	3.86	5	9.84	7.82
308	3.6	4.98	9.93	7.18
309	3.42	4.4	9.97	7.87
310	3.87	6.05	10.04	7.66
311	3.56	5.07	9.98	8.23
312	4.21	5.38	10.27	9.17
313	4.7	6.42	10.28	9.26
314	3.89	5.56	9.74	7.33
315	4.1	5.77	10.43	8.27
316	4.36	5.06	10.12	8.06
317	3.96	5.24	10.15	8.29
318	3.66	5.44	9.82	7.45
319	4.43	5.96	10.12	8.27
320	3.37	5.76	9.98	8.18
321	3.6	5.54	10.05	8.26
322	4.04	6.13	10	8.57
323	4.42	4.81	10.37	8.83
324	4.31	5.03	10.08	8.43
325	4	5.46	9.63	7.64
326	3.69	5.13	9.64	7.72
327	3.77	5.84	9.75	7.78
328	3.76	6.34	10.28	7.81
329	4.07	6.26	10.23	7.96
330	4.04	6.36	10.13	8.48
331	3.64	5.3	9.93	7.43
332	3.76	4.95	9.79	7.91
333	4.54	5.43	10.22	8.67
334	3.87	5.85	10.17	8.24
335	3.1	3.88	9.52	7.65
336	4.25	5.62	10.24	8.03
337	4.3	5.79	10.03	7.82
338	3.94	5.17	9.81	7.65
339	4.04	6.07	10.28	8.33
340	4.13	5.92	10.13	8.37
341	4.36	5.56	9.97	7.74
342	3.91	5.17	10.17	7.88
343	3.55	5.06	9.93	7.58
344	4.02	5.22	10	8.31
345	3.85	5.19	10.02	8.12
346	3.49	5.35	9.54	7.77
347	4.25	5.92	9.99	8.54
348	3.95	5.4	10.28	8.45
349	4.15	5.03	10.06	7.98
350	4.29	5.07	10.19	8.24
351	3.51	5.16	9.76	7.98
352	3.6	4.96	9.77	7.65
353	3.78	5.45	10.1	8.2
354	4.22	5.08	10.12	8.19
355	4.11	5.73	10	8.17
356	3.79	5.33	10.05	7.17
357	3.93	5.9	10.19	8.88
358	3.9	5.12	9.97	7.24
359	4.11	6.31	10.13	8.58
360	4.47	6.31	10.07	9.04
361	4.05	5.69	9.99	7.35
362	3.63	4.81	10	7.95
363	4.22	4.95	10	8.11
364	4.57	5.9	9.92	8.51
365	3.71	5.23	9.95	7.5
366	4.41	6.05	10.1	9.49
367	4.45	5.88	10.34	9.16
368	3.9	5.07	9.51	7.47
369	3.27	5.23	9.92	7.78
370	3.99	5.83	9.78	8.41
371	4.3	5.87	10.21	8.59
372	3.81	6.07	10.07	8.76
373	3.6	5.06	9.66	7.8
374	3.71	4.87	9.91	7.07
375	4.12	5.66	9.95	8.39
376	4.33	5.97	10.01	8.41
377	4.09	5.41	9.9	7.66
378	3.58	5.5	9.78	7.67
379	3.39	4.33	9.66	6.74
380	4.15	6.25	10.05	8.28
381	4.05	5.49	9.93	7.91
382	3.83	6.13	10.1	8.48
383	4.43	6.62	9.98	8.36
384	3.97	5.73	10.05	7.86
385	3.73	5.95	10	8.45
386	4.2	4.63	10.07	7.54
387	3.89	5.69	9.47	7.53
388	4.02	6.12	10.29	8.49
389	4.61	6.07	9.93	8.22
390	3.56	6.31	9.95	7.76
391	3.73	5.88	10.06	8.19
392	4.1	4.79	9.98	7.18
393	4.18	5.18	9.93	8.4
394	4.07	5.57	10.08	8.25
395	3.72	5.85	9.68	7.63
396	4.61	5.61	10.52	8.31
397	3.56	5.94	9.8	7.41
398	4.77	6.11	10.19	7.89
399	4.07	5.65	9.92	7.78
400	4.44	6.16	10.25	8.6
401	4.12	5.59	9.9	7.98
402	3.77	4.84	9.97	7.67
403	3.51	5.03	9.67	7.78
404	5.16	6.64	10.17	8.93
405	3.99	5.6	10.32	8.24
406	4.41	4.93	10.05	7.51
407	3.92	4.83	10.09	7.02
408	3.58	5.66	10.16	7.87
409	4.09	5.29	10.09	7.27
410	3.43	5.62	9.95	7.14
411	4.26	5.46	10.1	7.83
412	4.46	5.52	10.2	8.42
413	4	5.52	9.79	7.17
414	3.91	4.59	10.02	7.34
415	4.1	5.46	9.92	8.44
416	4.36	6.08	10.05	7.61
417	4.15	5.88	10.09	7.94
418	3.67	5.32	10.03	7.46
419	4.39	5.7	9.99	8.21
420	4.06	5.83	10.11	7.9
421	4.34	6.48	10.35	8.1
422	3.78	5.6	10.11	8.29
423	3.29	4.7	9.68	7.68
424	4	5.42	9.83	8
425	4.33	5.55	10.43	8.89
426	3.95	5.55	10.01	8.96
427	3.91	5.2	10.06	7.6
428	3.36	5.43	9.77	8.52
429	3.43	5.13	10.03	7.57
430	4.11	4.82	10.04	8.1
431	3.75	5.37	9.8	7.81
432	4.29	5.18	9.94	7.85
433	3.73	5.49	9.72	7.67
434	4.01	5.81	10.05	7.94
435	4.87	5.4	10.01	8.63
436	4.31	5.03	9.93	7.6
437	3.98	5.75	10.16	8.04
438	3.97	5.37	10.12	8.22
439	4.38	5.35	10.12	8.12
440	3.47	5.67	10.06	7.7
441	4.28	4.8	10.11	7.91
442	4.14	5.62	10.1	8.41
443	NA	5.43	10.23	7.59
444	4.21	5.4	9.97	8.11
445	4	5.66	10.17	8.29
446	3.6	5.32	10.18	7.82
447	3.1	5.49	9.91	7.14
448	4.58	6.79	10.36	8.51
449	3.86	5.54	10.14	7.76
450	4.28	5.32	9.91	8.1
451	3.83	6.02	10.2	9.17
452	3.58	5.6	9.98	8.06
453	3.78	5.16	9.73	8.1
454	4.1	6.09	10.29	8.72
455	4.39	6.22	10.26	7.68
456	3.94	5.39	10.03	7.77
457	3.74	4.8	9.85	7.75
458	3.84	5.11	9.74	8.11
459	4.35	6.21	10.33	8.03
460	4.29	6.03	10.23	8.53
461	4.58	5.16	10.09	8.67
462	4.44	5.77	10.23	8.47
463	5.27	6.47	10.4	9.04
464	4.06	5.04	9.92	7.73
465	3.65	5.61	10.11	8.04
466	3.51	5.25	9.94	7.32
467	4.44	5.4	10.01	7.55
468	4.07	5.58	10.32	8.2
469	4.23	6.23	10.15	8.5
470	4.38	5.69	10.32	8.47
471	3.3	4.89	10.01	6.7
472	4.22	6.13	10.11	8.12
473	3.8	5.42	10.12	8.14
474	3.71	5.76	10.23	7.64
475	3.76	5.1	9.77	7.45
476	3.31	5.73	9.95	7.64
477	4.17	5.6	9.97	7.95
478	4.22	5.49	9.95	8.1
479	4	5.54	9.72	7.07
480	4.09	5.36	10.06	8.52
481	4.5	6.16	10.21	8.87
482	4.1	5.97	9.94	8.34
483	3.93	5.2	10.23	8.18
484	4.16	6.27	10.22	8.45
485	4.12	5.24	10.04	7.67
486	3.14	4.9	9.74	7.09
487	4.28	6.13	10.38	8.94
488	4.17	6.44	10.02	8.01
489	4.44	5.45	10.01	8.9
490	3.61	5.29	10.03	7.77
491	4.12	5.54	9.88	7.78
492	4.74	5.82	10.42	8.28
493	3.86	5.56	9.86	7.9
494	4.56	5.95	9.99	7.39
495	3.75	5.65	9.68	8.15
496	4.67	6.4	10.2	9.23
497	4.33	4.84	9.95	7.73
498	3.66	5.03	9.77	7.71
499	5.05	6.08	10.35	9.26
500	4.51	5.81	10.16	8.61
501	3.73	5.77	10.41	8.36
502	3.85	4.61	9.8	7.69
503	3.99	4.69	9.92	7.35
504	3.71	4.97	9.91	7.44
505	2.96	5.05	9.76	7.29
506	3.67	5.66	9.8	7.47
507	4.46	5.57	10.21	8.55
508	3.82	5.4	9.93	8.28
509	4.35	5.54	9.97	7.99
510	4.36	5.56	9.82	8.4
511	3.9	5.46	10	7.45
512	3.97	5.84	9.84	7.9
513	3.31	5.01	9.75	7.64
514	4.44	5.51	9.96	8.47
515	3.8	6.04	9.9	8.4
516	3.81	5.56	10.05	7.67
517	4.11	5.67	10.1	7.99
518	4.13	4.73	9.95	8.16
519	4.62	5.43	9.87	7.84
520	3.64	5.11	9.79	8.2
521	3.61	4.92	9.88	7.6
522	3.83	4.9	9.95	8.25
523	4	5.82	9.82	7.91
524	4.29	6.29	10.13	9
525	4.11	5.63	9.93	8.5
526	4.4	5.62	10.21	8.31
527	4.2	5.41	9.91	7.31
528	4.57	5.64	10.23	8.12
529	3.83	5.49	10.15	8.17
530	3.44	5.1	10.11	7.8
531	3.69	4.92	9.86	8.33
532	4.18	4.96	9.9	7.61
533	4.36	5.27	10	8.37
534	3.21	5.22	9.66	7.7
535	4.12	5.12	10.08	7.68
536	3.52	5.36	9.73	7.46
537	3.85	5.46	9.91	7.35
538	3.54	5.25	9.76	7.63
539	4.27	6.2	10.16	8.64
540	4.37	6.44	10.14	8.15
541	4.43	5.95	10.2	8.07
542	4.37	6.18	10.31	7.91
543	3.79	5.27	10.09	7.74
544	3.76	5.16	9.87	7.37
545	4.11	5.11	9.89	8.11
546	4.18	5.72	9.85	8.78
547	4	5.41	10.06	8.14
548	3.94	5.48	9.95	7.83
549	3.73	5.72	9.8	8.6
550	4	5.96	10.06	8.47
551	4.15	5.1	9.59	8.21
552	3.67	5.12	9.99	7.79
553	3.84	4.9	10.1	8.05
554	3.31	5.14	9.91	7.07
555	4.36	5.96	10.42	8.87
556	4.28	5.38	10.16	8.8
557	3.28	5	9.99	7.3
558	4.19	5.42	10.21	8.27
559	4.16	4.88	9.9	6.61
560	4.16	5.81	9.71	8.17
561	3.16	4.96	9.93	7.7
562	4.07	5.47	10.15	8.98
563	4.06	5.2	9.76	7.5
564	3.24	5.37	9.8	7.75
565	4.4	5.46	10.17	8
566	3.56	5.69	10.12	8.08
567	4.76	5.85	10.38	8.02
568	3.85	5.52	9.69	8.22
569	4.35	5.24	10.24	7.61
570	4.37	5.94	10.4	9.23
571	4	6.18	10.23	8
572	4.05	5.48	10.34	8.46
573	NA	5.09	9.42	7.7
574	4.14	4.79	9.87	7.47
575	4.17	6.06	10.3	8.52
576	4.36	5.95	10.34	8.86
577	3.98	5.12	10.04	7.13
578	3.52	4.86	9.9	7.91
579	3.38	5.1	9.77	7.95
580	3.39	5.7	9.85	7.78
581	3.58	5.55	9.79	7.99
582	3.82	5.71	9.87	7.03
583	3.85	4.98	9.64	7.89
584	3.78	5.73	10.18	8.15
585	4.14	5.54	10.02	8.11
586	4.23	5.78	10.05	8.31
587	4.07	5.95	10.19	7.45
588	4.41	5.13	10.11	8.32
589	3.76	5.7	9.99	7.85
590	4.39	6.23	10.08	7.97
591	4.49	5.54	10.26	7.85
592	3.97	5.02	9.71	8.11
593	4.63	5.82	10.16	8.25
594	4.04	5.28	9.81	7.48
595	3.89	5.97	10.16	8.29
596	3.43	5.78	9.86	7.54
597	3.66	4.79	9.78	7.71
598	3.34	5.5	9.91	7.61
599	4.15	5.96	10.07	8.79
600	4	5.65	9.78	7.83
601	4.29	5.46	9.9	7.54
602	4.33	5.89	9.98	8.27
603	3.73	5.29	9.87	7.38
604	4.66	5.76	10.22	8.66
605	3.57	5.09	9.83	6.82
606	3.88	4.93	10.02	7.92
607	4.29	5.52	10.38	8.03
608	3.82	5.59	9.86	7.81
609	4.43	5.49	9.92	8.11
610	3.95	6.21	10.1	7.57
611	3.88	5.22	10.06	7.91
612	3.23	4.75	9.83	7.59
613	4.13	5.9	9.71	8.1
614	4.27	5.73	10	8.08
615	4.25	5	10.36	7.51
616	4.25	5.33	9.95	8.19
617	4.53	6.24	10.22	8.73
618	3.24	5.34	9.91	8.47
619	4.64	6.39	10.17	8.73
620	2.94	4.86	9.72	7.35
621	4.15	5.24	9.94	7.84
622	3.64	5.9	9.88	7.73
623	4.04	4.39	9.94	7.81
624	3.69	5.54	9.78	8.39
625	4.65	5.93	10.34	8.85
626	4.31	5.27	10.08	8.13
627	4.35	5.27	9.75	8.3
628	4.32	5.76	10.11	8.22
629	3.6	5.89	9.95	7.47
630	4.53	5.95	10.07	7.83
631	4.13	5.23	9.85	8.03
632	3.53	5.79	9.9	8.13
633	3.45	4.74	10.11	7.34
634	3.53	5.52	9.88	8.04
635	3.23	4.79	9.63	7.57
636	3.94	5.34	10.37	7.97
637	3.61	5.25	10.08	7.87
638	3.91	6.1	10.14	8.59
639	4.41	6.12	10.53	9.36
640	4.04	5.07	9.99	7.99
641	3.82	5.29	9.71	7.74
642	3.5	5.6	9.94	7.35
643	3.64	5.04	10.07	7.41
644	4.07	5.06	9.99	8.04
645	3.98	5.51	9.86	8.16
646	4.15	5.49	9.82	8.08
647	3.49	5.08	9.68	7.41
648	3.81	5.52	9.98	8.29
649	3.96	5.7	10.21	8.68
650	3.55	5.43	9.92	7.94
651	4.01	5.54	9.92	8.09
652	3.43	4.98	10.08	7.56
653	3.95	6.01	10.27	8.3
654	4.06	5.17	10.12	7.66
655	3.19	5.26	9.74	7.38
656	4.33	5.59	9.96	8.3
657	4.07	5.77	10.14	8.66
658	3.95	6.12	10.1	8
659	3.73	5.13	9.82	7.5
660	3.71	5.27	9.96	7.87
661	4.34	4.62	9.9	8
662	3.16	4.81	9.8	7.41
663	4.17	6.42	10.28	9.04
664	4.08	5.95	10.04	8.51
665	4.01	5.7	10.14	8.31
666	3.63	5.7	10.17	8.09
667	3.62	5.44	9.88	7.47
668	4.31	5.24	9.88	7.75
669	5.08	6.81	10.48	9.3
670	4.03	5.1	10.24	7.53
671	3.79	5.16	9.91	7.44
672	3.94	4.51	9.8	7.42
673	3.88	6.08	10	7.89
674	3.59	4.73	9.59	7.33
675	4.01	5.36	9.99	8.14
676	4.19	6.42	10.15	8.56
677	4.08	5.56	9.89	7.48
678	3.95	5.08	10.02	7.56
679	4.11	5.67	10.26	8.22
680	4.03	6	9.9	7.78
681	4.2	5.23	10.03	7.66
682	3.69	4.84	9.96	7.55
683	3.79	4.33	9.59	7.02
684	3.8	5.34	10.1	7.8
685	4.32	6.01	10.35	9.15
686	4.09	5.03	10.1	7.33
687	3.71	4.67	9.77	7.1
688	4.12	5.64	9.98	8.19
689	3.57	5.43	10.06	8.21
690	4.14	5.89	10.5	7.79
691	3.72	5.91	10.17	7.99
692	3.66	5.08	10.5	8.47
693	3.6	4.51	9.49	6.43
694	4.14	5.9	10.02	7.91
695	4.08	4.98	9.69	7.39
696	4.23	4.99	10.09	7.97
697	4.26	5.48	9.98	8.28
698	4.16	5.66	10.03	7.43
699	4.34	5.78	10.08	8.63
700	5.19	6.04	10.23	9.18
701	4.11	5.54	10.16	7.79
702	3.5	5.35	10.01	8.37
703	3.83	5.85	9.59	7.84
704	4.74	5.72	9.95	8.51
705	3.92	NA	9.86	8.15
706	4	5.16	10.01	8.05
707	4.07	5.83	9.85	7.86
708	3.75	5.4	10.01	8.12
709	4.12	5.08	9.86	7.18
710	4.25	5.41	10.14	8.14
711	4.25	5.5	10.18	7.79
712	3.37	5.1	9.84	8.29
713	3.97	5.59	9.91	7.46
714	4.35	5.66	10.2	8.27
715	4.01	5.55	10.28	8.32
716	3.47	5.47	9.92	8.64
717	3.57	5.39	9.88	8.21
718	4.18	5.61	10.2	8.6
719	3.56	6.05	9.77	8
720	2.94	4.53	9.94	7.67
721	3.9	5.95	9.99	7.7
722	4.06	5.62	10.19	8.49
723	4.05	5.27	10.32	8
724	3.59	5.56	9.91	7.51
725	4.4	6.97	10.18	8.81
726	3.32	4.92	9.62	7.5
727	3.37	4.23	9.66	6.94
728	3.77	5.2	9.54	8.16
729	3.5	4.86	9.78	7.64
730	3.71	4.07	9.71	6.55
731	4.72	6.78	10.05	8.49
732	3.6	5.11	9.94	7.58
733	3.92	5.87	10.19	8.4
734	4.21	6.48	10.25	8.43
735	4.18	5.54	9.74	7.39
736	3.84	5.32	10.05	8.6
737	4.28	5.9	10	8.6
738	3.79	5.48	10.26	8.6
739	3.47	5.98	10.02	8.36
740	4.05	5.43	9.93	8.26
741	5.11	5.78	9.98	9.03
742	5	6.03	10.37	8.23
743	3.84	5.69	10	8.28
744	4.19	5.02	10.04	8.03
745	3.61	4.99	9.82	8.5
746	4.14	5.61	10.18	7.98
747	3.91	6.05	10.49	8.53
748	4.21	5.64	10.36	8.71
749	3.67	5.39	9.93	7.87
750	3.99	6.01	10.11	8.64
751	3.74	5.71	10.07	8.02
752	NA	5.17	10.01	8.09
753	3.5	4.96	9.82	7.86
754	3.53	5.22	9.8	8.14
755	4.24	4.48	9.64	7.16
756	4.37	5.72	10.19	8.51
757	4.26	5.18	9.89	7.42
758	3.94	5.67	10.09	8.05
759	4.33	5.79	10.01	8.68
760	3.15	5.52	9.87	7.88
761	3.82	5.16	9.93	8.13
762	4.18	5.82	9.64	8.11
763	3.95	5.65	10.16	7.92
764	4.05	5.78	9.73	7.44
765	3.94	5.31	9.58	7.82
766	3.78	4.89	10.12	7.96
767	4.11	4.98	10.02	7.96
768	3.77	5.88	10.06	8.65
769	4.62	6.59	10.4	8.75
770	3.56	5.47	9.93	7.59
771	3.74	5.76	9.82	8.18
772	3.78	5.19	9.96	7.86
773	3.97	5.45	10.33	9.09
774	4.25	5.91	10.04	7.82
775	4.02	5.08	9.93	8.54
776	4.33	6.64	10.15	8.73
777	3.74	4.92	10.27	7.55
778	4.04	5.19	9.93	7.98
779	3.82	5.78	10.13	8.2
780	3.8	4.92	9.7	8.05
781	4.31	5.06	10	7.9
782	3.29	5.4	9.88	8.02
